unique_id,family,model,implementation,split,MAE,RMSE,MAPE,OPE,R2
Carbón,baseline,naive,numpy,val,1.6677026451612906,1.6899228165578375,45070010.040136695,959.3773362716499,-4.241790730921858
Carbón,baseline,naive,numpy,test,1.5080654516129028,2.3790508671047457,87142.74089021717,99.9999165755224,-0.6717385689145938
Carbón,baseline,moving_avg_7,numpy,val,0.5775530783410139,0.792938765573485,12332463.84657969,332.24827906938106,-0.15405163333674654
Carbón,baseline,moving_avg_7,numpy,test,1.6322282165898618,1.9825851124838358,22355856099.16706,108.2331574645055,-0.16097959769526748
Carbón,baseline,seasonal_naive_7,numpy,val,0.5016417419354838,1.0496131541778129,10463888.857642937,288.57885399239734,-1.0221085658083697
Carbón,baseline,seasonal_naive_7,numpy,test,1.217710032258064,2.0105711690929136,17382922613.17191,80.74643014250275,-0.19398757578731374
Ciclo combinado,baseline,naive,numpy,val,47.76884651612903,53.66620136030434,39.32913171347357,34.63682764792571,-2.9791559008928616
Ciclo combinado,baseline,naive,numpy,test,36.63309183870969,47.65319488180144,21.942484046434448,23.332547690607424,-0.3130213053379962
Ciclo combinado,baseline,moving_avg_7,numpy,val,45.01262598617514,50.87359661682079,37.13949717600884,32.63831308418273,-2.575807470665093
Ciclo combinado,baseline,moving_avg_7,numpy,test,33.08658689861751,41.59114177545373,22.797362155772248,21.07368851448307,-0.00020590226909145137
Ciclo combinado,baseline,seasonal_naive_7,numpy,val,44.00812070967741,55.126834198484595,35.31041286853748,31.909953940703385,-3.1987048679581562
Ciclo combinado,baseline,seasonal_naive_7,numpy,test,33.39420658064516,41.927425043954514,22.606848642382886,21.26961931205488,-0.016445528158923306
Cogeneración,baseline,naive,numpy,val,7.862076838709676,10.03519252767112,22.693245621039463,19.1204231134393,-0.9060932020938257
Cogeneración,baseline,naive,numpy,test,4.929699774193549,6.638777195574475,12.53857839481137,10.833750460719713,-0.08988449205550864
Cogeneración,baseline,moving_avg_7,numpy,val,7.348083709677419,9.50231165110994,21.246769745287953,17.870401483517114,-0.7090361718089735
Cogeneración,baseline,moving_avg_7,numpy,test,4.906244811059907,6.467578662631824,12.296806164752262,10.782204681200753,-0.034398126298664344
Cogeneración,baseline,seasonal_naive_7,numpy,val,7.262541354838711,9.367866179907853,20.8471542137389,17.66236408421532,-0.6610169757144895
Cogeneración,baseline,seasonal_naive_7,numpy,test,6.4621848387096765,8.178830664531054,15.89918013340515,14.201614942175626,-0.6541950588889354
Eólica,baseline,naive,numpy,val,83.94208712903226,103.71060421721458,34.97326021469832,35.083761081816775,-0.4473686202096676
Eólica,baseline,naive,numpy,test,84.20604516129032,99.32532208933401,89.43168903303254,48.53129744553459,-0.32125483364602414
Eólica,baseline,moving_avg_7,numpy,val,106.94569370506912,129.85812054982688,40.142931633229786,44.69816387708225,-1.2691909857877355
Eólica,baseline,moving_avg_7,numpy,test,88.72277273271888,103.63466286743574,94.77255716614333,51.134467429703534,-0.43839015842683815
Eólica,baseline,seasonal_naive_7,numpy,val,107.66550516129034,131.8754563518448,40.59419013132295,44.99901049667132,-1.3402420292106143
Eólica,baseline,seasonal_naive_7,numpy,test,126.87643170967742,159.5154496033026,125.16098944073961,73.1239406189452,-2.4077845501995547
Hidráulica,baseline,naive,numpy,val,22.899782064516128,28.83088880082383,34.679972902100495,34.38884037743718,-0.29164470306238854
Hidráulica,baseline,naive,numpy,test,35.82926493548387,40.58834709603362,32.083394295732646,34.071997321208656,-1.9048329507562132
Hidráulica,baseline,moving_avg_7,numpy,val,21.796050262672814,27.009972930658627,35.47268665312724,32.73135487621467,-0.133640369721441
Hidráulica,baseline,moving_avg_7,numpy,test,24.04067116589862,28.394905015011705,23.27515283095011,22.86158214631243,-0.4216715466537193
Hidráulica,baseline,seasonal_naive_7,numpy,val,22.810781258064516,27.436430493200255,37.1117727181428,34.25518694274925,-0.16972082610064
Hidráulica,baseline,seasonal_naive_7,numpy,test,27.615792935483874,33.09186740117557,27.03149524271049,26.261359941800112,-0.9309053325513554
Nuclear,baseline,naive,numpy,val,12.168464741935484,16.284816790945406,9.762510310819573,9.920937066452865,-0.04614552673416572
Nuclear,baseline,naive,numpy,test,10.137357290322566,15.339397280087768,6.023871864095754,6.527631157435251,-0.7496423910855365
Nuclear,baseline,moving_avg_7,numpy,val,17.400410838709664,21.599525797451182,13.292141384323946,14.186537457461135,-0.8404108359991611
Nuclear,baseline,moving_avg_7,numpy,test,10.076147986175105,15.29284930453974,5.984688516117102,6.4882173586082805,-0.739039791794134
Nuclear,baseline,seasonal_naive_7,numpy,val,19.178055741935484,24.0359458433766,14.907534861798416,15.635849559309648,-1.2790233878087918
Nuclear,baseline,seasonal_naive_7,numpy,test,10.08741712903225,15.301053376749326,5.992010656129991,6.495473767347283,-0.7409061588352288
Solar fotovoltaica,baseline,naive,numpy,val,28.617688161290317,32.706053772955194,34.74810525864964,27.74546077864387,-0.10661384038432176
Solar fotovoltaica,baseline,naive,numpy,test,20.236767064516126,23.6762461500097,32.21699598360958,27.82699967104928,-0.03699435845442589
Solar fotovoltaica,baseline,moving_avg_7,numpy,val,25.342599686635943,31.566462256394786,36.95411387898737,24.570192451308294,-0.030840869801416204
Solar fotovoltaica,baseline,moving_avg_7,numpy,test,34.28951688940091,40.57225748520885,65.87933174449596,47.15053408283191,-2.0451524998482746
Solar fotovoltaica,baseline,seasonal_naive_7,numpy,val,29.78648016129032,40.33567858589639,41.94474931187949,28.878629622039735,-0.6831334073254955
Solar fotovoltaica,baseline,seasonal_naive_7,numpy,test,48.32533087096773,56.01081807760665,84.9997637255495,66.45078050078946,-4.803560719222146
Carbón,statistical,AutoARIMA,statsforecast,val,0.663566175851358,0.8760668255047617,14989727.063722806,381.7289323581254,-0.40870614548556716
Carbón,statistical,AutoARIMA,statsforecast,test,1.4256562469366258,1.9789436470186124,11560120999.558939,94.53535694127771,-0.15671871169208096
Ciclo combinado,statistical,AutoARIMA,statsforecast,val,30.415289084967725,35.975885143533326,24.868448204883332,22.053895011723913,-0.7881840602144772
Ciclo combinado,statistical,AutoARIMA,statsforecast,test,30.599786568070687,39.862085345742955,20.04228419538474,19.489782150123467,0.08122798937055764
Cogeneración,statistical,AutoARIMA,statsforecast,val,6.813223193399844,8.558357927946611,19.21455452004393,16.569630759991824,-0.3863522953198495
Cogeneración,statistical,AutoARIMA,statsforecast,test,4.2132428482632545,5.994459349618966,10.769597999802928,9.259229514836568,0.1114040593216713
Eólica,statistical,AutoARIMA,statsforecast,val,104.32228545146374,127.20507621250798,39.353248158051464,43.6017052168624,-1.17741749830915
Eólica,statistical,AutoARIMA,statsforecast,test,77.22020908573356,92.00858632160708,79.1556281948934,44.505081894867146,-0.13376577027242664
Hidráulica,statistical,AutoARIMA,statsforecast,val,22.413904707552657,28.321367595915284,33.81164681236422,33.65919330810902,-0.24639427944418912
Hidráulica,statistical,AutoARIMA,statsforecast,test,25.478935566962004,29.166797355198675,24.239257476543255,24.229306014174682,-0.5000160969273921
Nuclear,statistical,AutoARIMA,statsforecast,val,11.784479158772804,14.701955599948827,10.331406000485257,9.60787400666902,0.1473386801491141
Nuclear,statistical,AutoARIMA,statsforecast,test,12.07048604223619,16.815801821211625,7.265855857346939,7.772408382005558,-1.1026542350556632
Solar fotovoltaica,statistical,AutoARIMA,statsforecast,val,26.92554530218594,31.594721243643715,36.66058123961847,26.10489208334833,-0.032687358514498
Solar fotovoltaica,statistical,AutoARIMA,statsforecast,test,28.495439908687693,34.84177525836514,55.68225160275858,39.183264522317444,-1.2456974762708706
Carbón,ml,RandomForestRegressor__lag,mlforecast_sklearn,val,5.558614656827962,5.752080490587258,150290090.4968307,3197.6977060634235,-59.72896066266403
Carbón,ml,RandomForestRegressor__lag,mlforecast_sklearn,test,3.8496582842633105,4.585393418801057,187906617762.2814,255.2710871128785,-5.210321921565987
Carbón,ml,GradientBoostingRegressor__lag,mlforecast_sklearn,val,12.257675146315005,12.459165118008038,327905712.33490944,7051.458342933529,-283.92058158791
Carbón,ml,GradientBoostingRegressor__lag,mlforecast_sklearn,test,10.84209890193521,11.375645085485965,412907689251.48065,718.9402718147962,-37.221961798249424
Carbón,ml,RandomForestRegressor__lag+calendar,mlforecast_sklearn,val,4.196671295215058,4.299591983905372,116123335.44007659,2414.2141526805144,-32.93129447906827
Carbón,ml,RandomForestRegressor__lag+calendar,mlforecast_sklearn,test,3.081158442419356,3.586444865073982,143712733699.66196,204.3118134351311,-2.7991743455421685
Carbón,ml,GradientBoostingRegressor__lag+calendar,mlforecast_sklearn,val,14.124115245387046,14.466689683381075,376702065.5442963,8125.163140220788,-383.1353463617386
Carbón,ml,GradientBoostingRegressor__lag+calendar,mlforecast_sklearn,test,12.801598806124868,13.457662419917849,517488165713.54816,848.8748358213772,-52.493395595843175
Carbón,ml,RandomForestRegressor__lag+statistical,mlforecast_sklearn,val,3.22388583376344,3.371187136326074,89435832.53099,1854.6010061288512,-19.859873069375944
Carbón,ml,RandomForestRegressor__lag+statistical,mlforecast_sklearn,test,2.0348212620430104,2.402358800539766,100750775006.20142,134.92912806454964,-0.7046555979749325
Carbón,ml,GradientBoostingRegressor__lag+statistical,mlforecast_sklearn,val,12.749343811280172,12.969320862417682,341697947.2824388,7334.299996684638,-307.7311204092226
Carbón,ml,GradientBoostingRegressor__lag+statistical,mlforecast_sklearn,test,9.508521738344893,10.06372551409937,384884547164.1595,630.5106847810074,-28.914274353824325
Ciclo combinado,ml,RandomForestRegressor__lag,mlforecast_sklearn,val,28.757657910645168,36.42674326787042,22.74233673810799,20.851959242363165,-0.8332847802746326
Ciclo combinado,ml,RandomForestRegressor__lag,mlforecast_sklearn,test,39.301235288709684,50.38046128311475,24.385597225966734,25.031956098901347,-0.46761454176787076
Ciclo combinado,ml,GradientBoostingRegressor__lag,mlforecast_sklearn,val,31.36813794796845,37.146813082584266,26.019212854743834,22.74479848227631,-0.906480485268651
Ciclo combinado,ml,GradientBoostingRegressor__lag,mlforecast_sklearn,test,35.95540009480067,45.49035374778783,22.70937943054696,22.900908586709036,-0.1965376132595964
Ciclo combinado,ml,RandomForestRegressor__lag+calendar,mlforecast_sklearn,val,26.379876208548307,32.59508449554301,21.452633105289127,19.127847797216333,-0.46788984361830854
